Area,Crimes
Kingston upon Thames,"13,221"
Richmond upon Thames,"13,413"
Sutton,"14,871"
Merton,"15,181"
Harrow,"17,909"
Bexley,"18,323"
Havering,"19,185"
Barking and Dagenham,"21,189"
Hammersmith and Fulham,"23,360"
Kensington and Chelsea,"24,304"
Redbridge,"25,402"
Bromley,"25,802"
Waltham Forest,"25,947"
Wandsworth,"27,261"
Hounslow,"27,920"
Hillingdon,"28,616"
Greenwich,"30,019"
Islington,"30,392"
Lewisham,"30,534"
Brent,"31,725"
Barnet,"31,911"
Enfield,"32,080"
Haringey,"32,818"
Ealing,"32,841"
Hackney,"34,510"
Tower Hamlets,"35,475"
Lambeth,"36,235"
Croydon,"36,790"
Newham,"37,107"
Camden,"38,530"
Southwark,"38,790"
Westminster,"73,603"
