Regions,Sex,Units,2019
Wilayat Muscat,Female,capita,36627
Wilayat Muscat,Male,capita,39717
Wilayat Muscat,Total,capita,76344
Wilayat Mutrah,Female,capita,65453
Wilayat Mutrah,Male,capita,204054
Wilayat Mutrah,Total,capita,269507
Wilayat Al Amrat,Female,capita,38659
Wilayat Al Amrat,Male,capita,52445
Wilayat Al Amrat,Total,capita,91104
Wilayat Qurayyat,Female,capita,28229
Wilayat Qurayyat,Male,capita,34904
Wilayat Qurayyat,Total,capita,63133
Wilayat As Seeb,Female,capita,176098
Wilayat As Seeb,Male,capita,287862
Wilayat As Seeb,Total,capita,463960
Wilayat Bawshar,Female,capita,97567
Wilayat Bawshar,Male,capita,359794
Wilayat Bawshar,Total,capita,457361
,,,
,,,
,,,
,,,
,,,
,,,
